video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=65Gya0m9xhA&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@ABCNews,ABC News,Single-mother Erin Brockovich spotlights a water crisis in a California town: Part 1,107K,2 years,"Brockovich became a household name after she publicized the water crisis in Hinkley, California. She faced Pacific Gas & Electric ...",2024-01-27 23:54:35.150474
/watch?v=OhDCTBqlkVM&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@ABCNews,ABC News,"Despite the movie’s finale, the real town of Hinkley had no happy ending: Part 3",142K,2 years,Residents said they face major health concerns after being exposed to contaminated water. PG&E is continuing its remediation ...,2024-01-27 23:54:35.161025
/watch?v=HUS5Qq7FTGY&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@ABCNews,ABC News,Erin Brockovich says her background gave her thick skin and determination: Part 2,155K,2 years,Brockovich faced many challenges in life that shaped her into who she is today. She became a celebrity after actress Julia ...,2024-01-27 23:54:35.162290
/watch?v=MXkzCM8MiFg&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@reveal,Reveal,Did Erin Brockovich fix Hinkley’s water pollution? The Aftermath series,72K,6 years,The 2000 film “Erin Brockovich” seemed like a successful David versus Goliath story. A single mom of three took on PG&E for ...,2024-01-27 23:54:35.174069
/watch?v=n7Knz8MHsTU&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@CNN,CNN,CNN: 'Erin Brockovich' town still poisoned,40K,13 years,"The citizens of Hinkley, California, made famous by a Julia Roberts movie, are still plagued with toxic pollution.",2024-01-27 23:54:35.175994
/watch?v=mWae__xM46o&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@ColbertLateShow,The Late Show with Stephen Colbert,Erin Brockovich Explains The Flint Water Crisis,572K,7 years,"Erin Brockovich stops by to explain the water crisis in Flint, Michigan, which she has been investigating for over a year.",2024-01-27 23:54:35.185643
/watch?v=C029muI7bFw&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@tomhuntthinkmissions4005,Tom Hunt Think Missions,Erin Brockovich Clip on Water,362K,4 years,Is the water you are drinking safe to drink? How do you know? It looks clean. It smells clean. But is it clean? Are you sure?,2024-01-27 23:54:35.187083
/watch?v=AoAtBCUM_D0&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@60MinutesAU,60 Minutes Australia,Meet the real Erin Brockovich | 60 Minutes Australia,282K,1 year,Julia Roberts had no doubt. When she played Erin Brockovich in the film Erin Brockovich it was as a bold and brassy single mum ...,2024-01-27 23:54:35.188470
/watch?v=NbBV8Irmdj0&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@ObservantApparition,Observant Apparition,"Hinkley, California: The Town of Toxins Somewhere Ep. 13 (2023)",10K,1 year,"Hinkley, California. A town that got its fifteen minutes of fame from the ""Erin Brockovich"" story. While there is plenty to find about ...",2024-01-27 23:54:35.193319
/watch?v=tN85swq288U&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@hellointernet5831,Hello Internet,Learning About Hinkley's Poisoned Water -- Erin Brockovich,437K,9 years,A powerful scene from the Oscar-winning movie Erin Brockovich.,2024-01-27 23:54:35.194435
/watch?v=7NPjHHgW-5E&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@rosieokelly,Rosie O'Kelly,What Became of the Tragic Town That Made Erin Brockovich Famous? (And Rich!),10K,2 years,"In this video, I visited Hinkley, California, a fast disappearing town at the heart of one of the biggest groundwater pollution cases in ...",2024-01-27 23:54:35.195547
/watch?v=mKgy5W3S6nw&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@MOVIECLIPS,Movieclips,Erin's Big Bonus - Erin Brockovich (10/10) Movie CLIP (2000) HD,4.6M,12 years,CLIP DESCRIPTION: Erin (Julia Roberts) argues with her boss Ed (Albert Finney) over her bonus check until she realizes that the ...,2024-01-27 23:54:35.196676
/watch?v=2icJoB26P8o&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@SkeptoidMedia,Skeptoid Media,Hinkley: The Erin Brockovich Case,597,2 years,"In the year 2000, the movie Erin Brockovich told the world the true story of a heroic whistleblower, in the person of a humble ...",2024-01-27 23:54:35.197767
/watch?v=T0jVacwA6j0&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@CNBCtelevision,CNBC Television,PG&E using bankruptcy to get out of liability: Erin Brockovich,10K,5 years,"CNBC's Aditi Roy sits down with Erin Brockovich, consumer advocate and environmental activist, to talk about her protest against ...",2024-01-27 23:54:35.198911
/watch?v=WNX-4t6xyZM&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@bingesociety,Binge Society ,Erin Brockovich: Twenty-eight Billion Dollars HD CLIP,5.6M,3 years,"What's happening in this Erin Brockovich movie clip? Erin (Julia Roberts from Pretty Woman, Notting Hill and My Best Friend's ...",2024-01-27 23:54:35.210148
/watch?v=ELzu636Xf6Y&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@RottenTomatoesCLASSICTRAILERS,Rotten Tomatoes Classic Trailers,Erin Brockovich Official Trailer #1 - Albert Finney Movie (2000) HD,316K,12 years,"Erin Brockovich Trailer - Directed by Steven Soderbergh and starring David Brisbin, Albert Finney, Valente Rodriguez, George ...",2024-01-27 23:54:35.211323
/watch?v=YYLWeijZMXM&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@JonWaite,Jon Waite,Erin Brokovich: the movie - meeting with the Hinkley folks,485K,10 years,Erin Brokovich: the movie - meeting with the Hinkley folks. One line in here says it all about empathy and securing relationships ...,2024-01-27 23:54:35.212390
/watch?v=dJhEiCOzCBQ&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@TheView,The View,Erin Brockovich On Her Fight For Communities Impacted By Our National Water Crisis | The View,57K,9 months,"Ray Romano on making his directorial debut with new film, 'Somewhere in Queens' Subscribe to our YouTube channel: ...",2024-01-27 23:54:35.213442
/watch?v=OpISHolWtKs&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@UniversalPictures,Universal Pictures,Erin Brockovich | The Master Negotiator's Best Scenes,2.6M,2 years,Erin Brockovich (Julia Roberts) is an expert at negotiating her way to a victory. Learn her best techniques from these scenes from ...,2024-01-27 23:54:35.222005
/watch?v=0wVgg5t2LAM&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@MOVIECLIPS,Movieclips,Surprise Evidence - Erin Brockovich (9/10) Movie CLIP (2000) HD,2.8M,12 years,CLIP DESCRIPTION: Erin (Julia Roberts) shocks Theresa (Veanne Cox) and Kurt (Peter Coyote) with startling key evidence ...,2024-01-27 23:54:41.636603
/watch?v=T7uKgPY4MQU&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@OutAllDay,Out All Day,"Hinkley, CA | The WATER is TOXIC! ☠️🤮🤢 // Exploring this nearly abandoned town.",1.2K,1 year,"Took a road trip to the town of Hinkley, Ca Really sad and wasted land. Hinkley is an unincorporated community in the Mojave ...",2024-01-27 23:54:41.640207
/watch?v=KnMoELYjpo4&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@UniversalPicturesAllAccess,Universal Pictures All-Access,Erin Brockovich - Trailer,90K,12 years,Julia Roberts won the Oscar for her portrayal of the fiery legal assistant who joined forces with her boss (Albert Finney) to bring a ...,2024-01-27 23:54:41.654598
/shorts/6xV0zdXlXd4,/@InspiringStoriesGT,Inspiring Stories,Erin Brockovich: Environmental Activist's Story,No,10 hours,"Leave a like if u like and subscribe. Thank's! ""Erin Brockovich: Environmental Activist's True Story"" highlights the journey of Erin ...",2024-01-27 23:54:41.656516
/watch?v=j4yXEmQRq34&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@MOVIECLIPS,Movieclips,Erin Brockovich (1/10) Movie CLIP - On the Prowl for Papers (2000) HD,1.3M,12 years,CLIP DESCRIPTION: Erin (Julia Roberts) flirts her way into accessing - and copying - PG&E water records. FILM DESCRIPTION: ...,2024-01-27 23:54:41.662877
/watch?v=AZMg4vFcRQs&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@MOVIECLIPS,Movieclips,Two Wrong Feet in Ugly Shoes - Erin Brockovich (7/10) Movie CLIP (2000) HD,2.7M,12 years,CLIP DESCRIPTION: Erin (Julia Roberts) defends her research and puts Theresa (Veanne Cox) in her place by displaying an ...,2024-01-27 23:54:41.664827
/watch?v=o0lpc4ijwoI&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@MsMojo,MsMojo,Top 10 Things Erin Brockovich Got Factually Right & Wrong,425K,3 years,"You might be surprised by the things Erin Brockovich got factually right and wrong. For this list, we'll be looking at what was fact ...",2024-01-27 23:54:41.670029
