video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=65Gya0m9xhA&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@ABCNews,ABC News,Single-mother Erin Brockovich spotlights a water crisis in a California town: Part 1,107K,2 years,"Brockovich became a household name after she publicized the water crisis in Hinkley, California. She faced Pacific Gas & Electric ...",2024-01-27 23:51:56.937176
/watch?v=n7Knz8MHsTU&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@CNN,CNN,CNN: 'Erin Brockovich' town still poisoned,40K,13 years,"The citizens of Hinkley, California, made famous by a Julia Roberts movie, are still plagued with toxic pollution.",2024-01-27 23:51:56.939778
/watch?v=OhDCTBqlkVM&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@ABCNews,ABC News,"Despite the movie’s finale, the real town of Hinkley had no happy ending: Part 3",142K,2 years,Residents said they face major health concerns after being exposed to contaminated water. PG&E is continuing its remediation ...,2024-01-27 23:51:56.941595
/watch?v=MXkzCM8MiFg&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@reveal,Reveal,Did Erin Brockovich fix Hinkley’s water pollution? The Aftermath series,72K,6 years,The 2000 film “Erin Brockovich” seemed like a successful David versus Goliath story. A single mom of three took on PG&E for ...,2024-01-27 23:52:02.967880
/watch?v=tN85swq288U&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@hellointernet5831,Hello Internet,Learning About Hinkley's Poisoned Water -- Erin Brockovich,437K,9 years,A powerful scene from the Oscar-winning movie Erin Brockovich.,2024-01-27 23:52:02.969380
/watch?v=NbBV8Irmdj0&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@ObservantApparition,Observant Apparition,"Hinkley, California: The Town of Toxins Somewhere Ep. 13 (2023)",10K,1 year,"Hinkley, California. A town that got its fifteen minutes of fame from the ""Erin Brockovich"" story. While there is plenty to find about ...",2024-01-27 23:52:02.971076
/watch?v=T7uKgPY4MQU&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@OutAllDay,Out All Day,"Hinkley, CA | The WATER is TOXIC! ☠️🤮🤢 // Exploring this nearly abandoned town.",1.2K,1 year,"Took a road trip to the town of Hinkley, Ca Really sad and wasted land. Hinkley is an unincorporated community in the Mojave ...",2024-01-27 23:52:02.973405
/watch?v=bv2OwHCEDyM&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@Placidway,PlacidWay Medical Tourism,Tijuana's New Wave: Immunotherapy for Pancreatic Cancer Treatment,26,2 days,"For several years, the concern of pancreatic cancer has been a significant health challenge, as it can strike those who have least ...",2024-01-27 23:52:02.975106
/watch?v=9ddzuVAe5HI&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@AdamJacobson08,Adam Jacobson,"Residents with Cancer, Illnesses, File Lawsuit Against 3 Companies",458,12 years,"... concentration of hexavalent chromium is more potent here than it was in the Hinkley California case made famous by the movie, ...",2024-01-27 23:52:02.976788
/watch?v=HUS5Qq7FTGY&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@ABCNews,ABC News,Erin Brockovich says her background gave her thick skin and determination: Part 2,155K,2 years,Brockovich faced many challenges in life that shaped her into who she is today. She became a celebrity after actress Julia ...,2024-01-27 23:52:02.978673
/watch?v=T0jVacwA6j0&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@CNBCtelevision,CNBC Television,PG&E using bankruptcy to get out of liability: Erin Brockovich,10K,5 years,"CNBC's Aditi Roy sits down with Erin Brockovich, consumer advocate and environmental activist, to talk about her protest against ...",2024-01-27 23:52:02.982144
/watch?v=bKsODxpOTk4&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@CBS,CBS,New Concerns Over Drinking Water Safety,54,13 years,"A new study found a chemical, believed to cause cancer, in the tap water of 31 cities. Bill Whitaker reports on the latest details.",2024-01-27 23:52:02.984135
/watch?v=S-bJSghL23w&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@WCNC,WCNC,Erin Brockovich: 'Something is going on at Lake Norman',6.1K,3 years,Environmental activist Erin Brockovich says Duke Energy needs to do more testing about the reported cancer clusters around ...,2024-01-27 23:52:02.985949
/watch?v=7p3MaiyhzY0&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@ABC7,ABC7,"Drinking CA tap water could increase cancer risk, study says | ABC7",3.2K,4 years,A new study claims drinking tap water in California over the course of a lifetime could increase the risk of cancer. Details: ...,2024-01-27 23:52:02.987824
